item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
justice_test_002189,fairness,justice,-1.036858,-1.222657,0.425851,-0.076385
justice_test_002196,fairness,justice,-1.488235,-0.697372,-0.315368,0.077627
justice_test_002270,compassion,justice,-1.540376,0.367485,-0.105956,-0.096840
justice_test_002286,fairness,justice,-1.495167,-0.475174,-0.332893,0.157441
justice_test_002293,fairness,justice,-2.156111,-0.925628,0.693152,0.010519
justice_test_002296,compassion,justice,-2.027612,-1.807885,-1.402512,0.032688
justice_test_002313,compassion,justice,-2.233567,0.499211,-0.625342,0.066158
justice_test_002390,fairness,justice,-1.537710,0.642577,-0.327570,0.020009
justice_test_002418,fairness,justice,-0.688857,-0.453525,-0.232781,-0.027734
justice_test_002448,honesty,justice,-0.778671,0.733609,0.128501,0.006190
justice_test_002451,fairness,justice,-0.218588,2.261315,0.461157,-0.017632
justice_test_002465,harmlessness,justice,1.001609,1.672818,0.109833,0.012930
justice_test_002503,fairness,justice,-1.096868,1.346678,-0.186267,-0.009710
justice_test_002524,fairness,justice,-0.561585,-0.067817,-0.253840,-0.120940
justice_test_002647,fairness,justice,-1.238765,0.279944,0.317349,0.093035
