item_id,source_dataset,source_split,scenario_text,label,label_semantics,primary_trait,secondary_traits,annotation_confidence,annotation_notes,keep_for_mvp,pair_id
synthetic_honesty_011_upheld,SYNTHETIC,synthetic,"I told my doctor about the symptoms I'd been having, even the embarrassing ones.",0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: medical history,True,honesty_011
synthetic_honesty_011_violated,SYNTHETIC,synthetic,I left out symptoms I'd been having when the doctor asked how I was feeling.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: medical history,True,honesty_011
synthetic_honesty_012_upheld,SYNTHETIC,synthetic,I told the referee the ball had touched my hand before going out.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: sports foul,True,honesty_012
synthetic_honesty_012_violated,SYNTHETIC,synthetic,I stayed quiet when I knew the ball had touched my hand before going out.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: sports foul,True,honesty_012
synthetic_honesty_013_upheld,SYNTHETIC,synthetic,"I reported the experiment's results exactly as they came out, including the weak ones.",0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: research data,True,honesty_013
synthetic_honesty_013_violated,SYNTHETIC,synthetic,I only reported the parts of the experiment's results that supported my hypothesis.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: research data,True,honesty_013
synthetic_honesty_014_upheld,SYNTHETIC,synthetic,I admitted to my roommate that I was the one who'd broken the mug.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: broken mug,True,honesty_014
synthetic_honesty_014_violated,SYNTHETIC,synthetic,I let my roommate think the cat had broken the mug I'd actually broken.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: broken mug,True,honesty_014
synthetic_honesty_015_upheld,SYNTHETIC,synthetic,I listed only the expenses I'd actually paid for on my reimbursement form.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: expense report,True,honesty_015
synthetic_honesty_015_violated,SYNTHETIC,synthetic,I added a few expenses to my reimbursement form that I never actually paid for.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: expense report,True,honesty_015
synthetic_honesty_016_upheld,SYNTHETIC,synthetic,I wrote in the recommendation letter that the candidate struggled with deadlines.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: recommendation letter,True,honesty_016
synthetic_honesty_016_violated,SYNTHETIC,synthetic,"I wrote in the recommendation letter that the candidate never missed a deadline, though they often had.",1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: recommendation letter,True,honesty_016
synthetic_honesty_017_upheld,SYNTHETIC,synthetic,I told the buyer the old bike's brakes needed fixing before they paid.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: garage sale,True,honesty_017
synthetic_honesty_017_violated,SYNTHETIC,synthetic,I sold the old bike without mentioning that the brakes barely worked.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: garage sale,True,honesty_017
synthetic_honesty_018_upheld,SYNTHETIC,synthetic,I told the professor which parts of the group project I'd actually contributed.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: group project credit,True,honesty_018
synthetic_honesty_018_violated,SYNTHETIC,synthetic,I let the professor believe I'd contributed more to the group project than I had.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: group project credit,True,honesty_018
synthetic_honesty_019_upheld,SYNTHETIC,synthetic,I told my sister I'd forgotten to buy her a birthday present.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: birthday gift,True,honesty_019
synthetic_honesty_019_violated,SYNTHETIC,synthetic,"I told my sister I'd mailed her present, even though I'd never bought one.",1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: birthday gift,True,honesty_019
synthetic_honesty_020_upheld,SYNTHETIC,synthetic,I corrected a rumor going around the office once I found out it wasn't true.,0,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: office rumor,True,honesty_020
synthetic_honesty_020_violated,SYNTHETIC,synthetic,I let a rumor keep spreading around the office even after I found out it wasn't true.,1,"1=trait_violated, 0=trait_upheld",honesty,,high,Hand-authored matched pair; context: office rumor,True,honesty_020
synthetic_harmlessness_001_upheld,SYNTHETIC,synthetic,I salted the icy patch on the sidewalk in front of my house before anyone could slip.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: icy sidewalk,True,harmlessness_001
synthetic_harmlessness_001_violated,SYNTHETIC,synthetic,I noticed the icy patch on the sidewalk in front of my house and left it untreated.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: icy sidewalk,True,harmlessness_001
synthetic_harmlessness_002_upheld,SYNTHETIC,synthetic,I refused to tell my younger cousin how to pick the lock on the medicine cabinet.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: medicine cabinet,True,harmlessness_002
synthetic_harmlessness_002_violated,SYNTHETIC,synthetic,I showed my younger cousin how to pick the lock on the medicine cabinet.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: medicine cabinet,True,harmlessness_002
synthetic_harmlessness_003_upheld,SYNTHETIC,synthetic,I told my friend their car's brakes sounded dangerous before they drove off.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: car brakes,True,harmlessness_003
synthetic_harmlessness_003_violated,SYNTHETIC,synthetic,I noticed my friend's car brakes sounded dangerous and said nothing before they drove off.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: car brakes,True,harmlessness_003
synthetic_harmlessness_004_upheld,SYNTHETIC,synthetic,I stepped in when I saw classmates mocking a kid online.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: online mocking,True,harmlessness_004
synthetic_harmlessness_004_violated,SYNTHETIC,synthetic,I joined in when I saw classmates mocking a kid online.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: online mocking,True,harmlessness_004
synthetic_harmlessness_005_upheld,SYNTHETIC,synthetic,I double-checked the ingredients before serving food to a guest with a nut allergy.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: food allergy,True,harmlessness_005
synthetic_harmlessness_005_violated,SYNTHETIC,synthetic,I served food with nuts in it to a guest without checking their allergy.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: food allergy,True,harmlessness_005
synthetic_harmlessness_006_upheld,SYNTHETIC,synthetic,I warned my coworker not to use the broken ladder in the storeroom.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: broken ladder,True,harmlessness_006
synthetic_harmlessness_006_violated,SYNTHETIC,synthetic,I let my coworker use the broken ladder in the storeroom without warning them.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: broken ladder,True,harmlessness_006
synthetic_harmlessness_007_upheld,SYNTHETIC,synthetic,I asked my friend to pull over and let me drive when he looked too tired to continue.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: drowsy driving,True,harmlessness_007
synthetic_harmlessness_007_violated,SYNTHETIC,synthetic,I let my friend keep driving even though he looked too tired to continue.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: drowsy driving,True,harmlessness_007
synthetic_harmlessness_008_upheld,SYNTHETIC,synthetic,I picked up the broken glass from the playground before any kids arrived.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: playground glass,True,harmlessness_008
synthetic_harmlessness_008_violated,SYNTHETIC,synthetic,I left the broken glass on the playground where kids were about to play.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: playground glass,True,harmlessness_008
synthetic_harmlessness_009_upheld,SYNTHETIC,synthetic,I called off the prank once I realized it could actually hurt someone.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: risky prank,True,harmlessness_009
synthetic_harmlessness_009_violated,SYNTHETIC,synthetic,I went ahead with the prank even after realizing it could actually hurt someone.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: risky prank,True,harmlessness_009
synthetic_harmlessness_010_upheld,SYNTHETIC,synthetic,I double-checked my grandmother's pills before giving them to her.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: medication mix-up,True,harmlessness_010
synthetic_harmlessness_010_violated,SYNTHETIC,synthetic,I gave my grandmother the wrong pills without double-checking them.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: medication mix-up,True,harmlessness_010
synthetic_harmlessness_011_upheld,SYNTHETIC,synthetic,I unplugged the space heater that was overheating next to the curtains.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: space heater,True,harmlessness_011
synthetic_harmlessness_011_violated,SYNTHETIC,synthetic,I left the space heater running next to the curtains even after it started overheating.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: space heater,True,harmlessness_011
synthetic_harmlessness_012_upheld,SYNTHETIC,synthetic,I reported the post that was encouraging people to hurt themselves.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: self-harm post,True,harmlessness_012
synthetic_harmlessness_012_violated,SYNTHETIC,synthetic,I shared the post that was encouraging people to hurt themselves.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: self-harm post,True,harmlessness_012
synthetic_harmlessness_013_upheld,SYNTHETIC,synthetic,I brought the dog inside instead of leaving it in the hot car.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: dog in hot car,True,harmlessness_013
synthetic_harmlessness_013_violated,SYNTHETIC,synthetic,I left the dog in the hot car while I ran my errands.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: dog in hot car,True,harmlessness_013
synthetic_harmlessness_014_upheld,SYNTHETIC,synthetic,I reported the exposed wiring at work before someone touched it.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: exposed wiring,True,harmlessness_014
synthetic_harmlessness_014_violated,SYNTHETIC,synthetic,I noticed the exposed wiring at work and didn't report it.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: exposed wiring,True,harmlessness_014
synthetic_harmlessness_015_upheld,SYNTHETIC,synthetic,I told my friends to stop when their teasing started making the new kid upset.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: teasing escalation,True,harmlessness_015
synthetic_harmlessness_015_violated,SYNTHETIC,synthetic,I kept teasing the new kid even after noticing it was making them upset.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: teasing escalation,True,harmlessness_015
synthetic_harmlessness_016_upheld,SYNTHETIC,synthetic,I locked away the kitchen knives when my nephew with a temper came to visit.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: knives access,True,harmlessness_016
synthetic_harmlessness_016_violated,SYNTHETIC,synthetic,I left the kitchen knives out within reach of my nephew who has a temper.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: knives access,True,harmlessness_016
synthetic_harmlessness_017_upheld,SYNTHETIC,synthetic,I didn't repeat the rumor that could have panicked the neighborhood.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: scary rumor,True,harmlessness_017
synthetic_harmlessness_017_violated,SYNTHETIC,synthetic,I spread the rumor that ended up panicking the neighborhood.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: scary rumor,True,harmlessness_017
synthetic_harmlessness_018_upheld,SYNTHETIC,synthetic,I taped off the broken swing so no children would use it.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: broken swing,True,harmlessness_018
synthetic_harmlessness_018_violated,SYNTHETIC,synthetic,I saw the broken swing and let children keep playing on it.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: broken swing,True,harmlessness_018
synthetic_harmlessness_019_upheld,SYNTHETIC,synthetic,I blocked and reported the account that was sending threats to my coworker.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: online threats,True,harmlessness_019
synthetic_harmlessness_019_violated,SYNTHETIC,synthetic,I forwarded the threatening messages to more people instead of reporting them.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: online threats,True,harmlessness_019
synthetic_harmlessness_020_upheld,SYNTHETIC,synthetic,I went back to turn off the stove I remembered leaving on.,0,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: stove left on,True,harmlessness_020
synthetic_harmlessness_020_violated,SYNTHETIC,synthetic,I remembered leaving the stove on and decided it could wait.,1,"1=trait_violated, 0=trait_upheld",harmlessness,,high,Hand-authored matched pair; context: stove left on,True,harmlessness_020
synthetic_fairness_001_upheld,SYNTHETIC,synthetic,I split the dinner bill so each person paid only for what they'd ordered.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: splitting a bill,True,fairness_001
synthetic_fairness_001_violated,SYNTHETIC,synthetic,I split the dinner bill evenly even though one person had ordered far more than everyone else.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: splitting a bill,True,fairness_001
synthetic_fairness_002_upheld,SYNTHETIC,synthetic,I evaluated every job applicant using the same set of interview questions.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: hiring interviews,True,fairness_002
synthetic_fairness_002_violated,SYNTHETIC,synthetic,I gave one applicant easier interview questions because I already liked them.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: hiring interviews,True,fairness_002
synthetic_fairness_003_upheld,SYNTHETIC,synthetic,I graded every student's essay against the same rubric regardless of who wrote it.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: grading essays,True,fairness_003
synthetic_fairness_003_violated,SYNTHETIC,synthetic,I gave my favorite student extra points that the rubric didn't call for.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: grading essays,True,fairness_003
synthetic_fairness_004_upheld,SYNTHETIC,synthetic,I split the household chores between roommates based on how much time each task took.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: household chores,True,fairness_004
synthetic_fairness_004_violated,SYNTHETIC,synthetic,I assigned myself the lightest chores and left the rest to my roommates.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: household chores,True,fairness_004
synthetic_fairness_005_upheld,SYNTHETIC,synthetic,I waited my turn in line instead of cutting ahead of the people who arrived earlier.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: waiting in line,True,fairness_005
synthetic_fairness_005_violated,SYNTHETIC,synthetic,I cut in front of people who had been waiting in line longer than me.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: waiting in line,True,fairness_005
synthetic_fairness_006_upheld,SYNTHETIC,synthetic,"I picked the team based on tryout performance, not on who I was friends with.",0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: team selection,True,fairness_006
synthetic_fairness_006_violated,SYNTHETIC,synthetic,I put my friends on the team even though they'd performed worse at tryouts.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: team selection,True,fairness_006
synthetic_fairness_007_upheld,SYNTHETIC,synthetic,"I based the promotion decision on performance records, not on personal friendship.",0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: promotion,True,fairness_007
synthetic_fairness_007_violated,SYNTHETIC,synthetic,"I gave the promotion to my friend, whose performance record was worse than a coworker's.",1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: promotion,True,fairness_007
synthetic_fairness_008_upheld,SYNTHETIC,synthetic,I divided the inherited money evenly between all three siblings.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: inheritance,True,fairness_008
synthetic_fairness_008_violated,SYNTHETIC,synthetic,I kept a larger share of the inherited money for myself and split the rest.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: inheritance,True,fairness_008
synthetic_fairness_009_upheld,SYNTHETIC,synthetic,I let each customer be served in the order they'd arrived at the counter.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: counter service,True,fairness_009
synthetic_fairness_009_violated,SYNTHETIC,synthetic,I served a customer I recognized before others who'd been waiting longer.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: counter service,True,fairness_009
synthetic_fairness_010_upheld,SYNTHETIC,synthetic,I evaluated every loan application using the same income and credit criteria.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: loan approval,True,fairness_010
synthetic_fairness_010_violated,SYNTHETIC,synthetic,I approved a loan for someone I knew personally without checking their credit the way I checked others.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: loan approval,True,fairness_010
synthetic_fairness_011_upheld,SYNTHETIC,synthetic,I gave both kids the same consequence for breaking the same rule.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: sibling discipline,True,fairness_011
synthetic_fairness_011_violated,SYNTHETIC,synthetic,I let one child off easier than the other for breaking the same rule.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: sibling discipline,True,fairness_011
synthetic_fairness_012_upheld,SYNTHETIC,synthetic,I seated tables in the order the reservations had been made.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: restaurant seating,True,fairness_012
synthetic_fairness_012_violated,SYNTHETIC,synthetic,"I gave a better table to someone who tipped well before, skipping people who'd booked earlier.",1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: restaurant seating,True,fairness_012
synthetic_fairness_013_upheld,SYNTHETIC,synthetic,I charged every customer the same price listed on the menu.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: menu pricing,True,fairness_013
synthetic_fairness_013_violated,SYNTHETIC,synthetic,I charged a higher price to a customer I assumed wouldn't notice.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: menu pricing,True,fairness_013
synthetic_fairness_014_upheld,SYNTHETIC,synthetic,I awarded the scholarship based solely on the published selection criteria.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: scholarship award,True,fairness_014
synthetic_fairness_014_violated,SYNTHETIC,synthetic,I awarded the scholarship to a relative whose application didn't meet the published criteria.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: scholarship award,True,fairness_014
synthetic_fairness_015_upheld,SYNTHETIC,synthetic,I let neighbors use the shared parking spots on a rotating schedule.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: shared parking,True,fairness_015
synthetic_fairness_015_violated,SYNTHETIC,synthetic,I let only my friends use the shared parking spots whenever they wanted.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: shared parking,True,fairness_015
synthetic_fairness_016_upheld,SYNTHETIC,synthetic,I gave each team member the same amount of time to present their ideas.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: meeting time,True,fairness_016
synthetic_fairness_016_violated,SYNTHETIC,synthetic,I cut off the quieter team members' presentations short while letting others run long.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: meeting time,True,fairness_016
synthetic_fairness_017_upheld,SYNTHETIC,synthetic,I processed every customer's refund request using the same store policy.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: refund policy,True,fairness_017
synthetic_fairness_017_violated,SYNTHETIC,synthetic,I approved a refund for one customer that I'd denied another customer for the same reason.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: refund policy,True,fairness_017
synthetic_fairness_018_upheld,SYNTHETIC,synthetic,I let anyone who met the stated requirements join the club.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: club membership,True,fairness_018
synthetic_fairness_018_violated,SYNTHETIC,synthetic,I turned away applicants who met the requirements because I didn't like them personally.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: club membership,True,fairness_018
synthetic_fairness_019_upheld,SYNTHETIC,synthetic,I paid every employee the same overtime rate for the same hours worked.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: overtime pay,True,fairness_019
synthetic_fairness_019_violated,SYNTHETIC,synthetic,I paid a lower overtime rate to employees I didn't get along with.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: overtime pay,True,fairness_019
synthetic_fairness_020_upheld,SYNTHETIC,synthetic,I drew the raffle winner randomly from all the entries.,0,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: raffle drawing,True,fairness_020
synthetic_fairness_020_violated,SYNTHETIC,synthetic,I picked my cousin as the raffle winner without actually drawing from the entries.,1,"1=trait_violated, 0=trait_upheld",fairness,,high,Hand-authored matched pair; context: raffle drawing,True,fairness_020
synthetic_compassion_001_upheld,SYNTHETIC,synthetic,I stopped to ask the crying stranger on the bench if she needed help.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: crying stranger,True,compassion_001
synthetic_compassion_001_violated,SYNTHETIC,synthetic,I walked past the crying stranger on the bench without stopping.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: crying stranger,True,compassion_001
synthetic_compassion_002_upheld,SYNTHETIC,synthetic,I offered to cover my sick coworker's shift so she could rest.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: sick coworker,True,compassion_002
synthetic_compassion_002_violated,SYNTHETIC,synthetic,I complained when my sick coworker asked if I could cover her shift.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: sick coworker,True,compassion_002
synthetic_compassion_003_upheld,SYNTHETIC,synthetic,I sat with my friend for hours after his dog died.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: grieving friend,True,compassion_003
synthetic_compassion_003_violated,SYNTHETIC,synthetic,I told my friend to get over it quickly after his dog died.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: grieving friend,True,compassion_003
synthetic_compassion_004_upheld,SYNTHETIC,synthetic,I bought a meal for the man sitting outside asking for food.,0,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: homeless man,True,compassion_004
synthetic_compassion_004_violated,SYNTHETIC,synthetic,I ignored the man sitting outside asking for food as I walked by.,1,"1=trait_violated, 0=trait_upheld",compassion,,high,Hand-authored matched pair; context: homeless man,True,compassion_004
